"","SINCERE_MAX2","STRATEGIC_MAX2","VCM1016","n","sincere_strategic","percent","df","age"
"1",0,0,39,1,1,0.25,"anes84_cm_d",39
"2",0,0,43,1,1,1,"anes84_cm_d",43
"3",0,1,28,2,3,1,"anes84_cm_d",28
"4",0,1,30,1,3,0.25,"anes84_cm_d",30
"5",0,1,39,1,3,0.25,"anes84_cm_d",39
"6",0,1,46,1,3,0.5,"anes84_cm_d",46
"7",0,1,53,1,3,1,"anes84_cm_d",53
"8",0,1,71,1,3,1,"anes84_cm_d",71
"9",1,0,21,1,2,1,"anes84_cm_d",21
"10",1,0,25,1,2,0.333333333333333,"anes84_cm_d",25
"11",1,0,29,1,2,0.333333333333333,"anes84_cm_d",29
"12",1,0,31,1,2,0.5,"anes84_cm_d",31
"13",1,0,34,1,2,0.25,"anes84_cm_d",34
"14",1,0,35,1,2,1,"anes84_cm_d",35
"15",1,0,37,1,2,1,"anes84_cm_d",37
"16",1,0,38,1,2,1,"anes84_cm_d",38
"17",1,0,40,1,2,0.5,"anes84_cm_d",40
"18",1,0,52,1,2,1,"anes84_cm_d",52
"19",1,0,59,1,2,0.5,"anes84_cm_d",59
"20",1,1,18,1,4,1,"anes84_cm_d",18
"21",1,1,22,3,4,1,"anes84_cm_d",22
"22",1,1,23,2,4,1,"anes84_cm_d",23
"23",1,1,24,4,4,1,"anes84_cm_d",24
"24",1,1,25,2,4,0.666666666666667,"anes84_cm_d",25
"25",1,1,26,1,4,1,"anes84_cm_d",26
"26",1,1,27,3,4,1,"anes84_cm_d",27
"27",1,1,29,2,4,0.666666666666667,"anes84_cm_d",29
"28",1,1,30,3,4,0.75,"anes84_cm_d",30
"29",1,1,31,1,4,0.5,"anes84_cm_d",31
"30",1,1,32,2,4,1,"anes84_cm_d",32
"31",1,1,33,2,4,1,"anes84_cm_d",33
"32",1,1,34,3,4,0.75,"anes84_cm_d",34
"33",1,1,36,1,4,1,"anes84_cm_d",36
"34",1,1,39,2,4,0.5,"anes84_cm_d",39
"35",1,1,40,1,4,0.5,"anes84_cm_d",40
"36",1,1,41,1,4,1,"anes84_cm_d",41
"37",1,1,44,1,4,1,"anes84_cm_d",44
"38",1,1,45,2,4,1,"anes84_cm_d",45
"39",1,1,46,1,4,0.5,"anes84_cm_d",46
"40",1,1,49,2,4,1,"anes84_cm_d",49
"41",1,1,50,1,4,1,"anes84_cm_d",50
"42",1,1,56,1,4,1,"anes84_cm_d",56
"43",1,1,57,1,4,1,"anes84_cm_d",57
"44",1,1,59,1,4,0.5,"anes84_cm_d",59
"45",1,1,65,1,4,1,"anes84_cm_d",65
"46",1,1,67,2,4,1,"anes84_cm_d",67
"47",1,1,73,2,4,1,"anes84_cm_d",73
"48",1,1,77,1,4,1,"anes84_cm_d",77
"49",1,1,78,1,4,1,"anes84_cm_d",78
"50",1,1,80,1,4,1,"anes84_cm_d",80
