"","SINCERE_MAX2","STRATEGIC_MAX2","VST0536","n","sincere_strategic","percent","df","age"
"1",0,0,23,1,1,0.142857142857143,"anes88_st_d",23
"2",0,0,26,1,1,1,"anes88_st_d",26
"3",0,0,29,2,1,0.222222222222222,"anes88_st_d",29
"4",0,0,36,1,1,0.125,"anes88_st_d",36
"5",0,0,37,1,1,0.25,"anes88_st_d",37
"6",0,0,40,2,1,0.181818181818182,"anes88_st_d",40
"7",0,0,41,1,1,0.142857142857143,"anes88_st_d",41
"8",0,0,52,1,1,0.5,"anes88_st_d",52
"9",0,0,54,1,1,0.333333333333333,"anes88_st_d",54
"10",0,0,57,1,1,0.25,"anes88_st_d",57
"11",0,0,59,1,1,0.2,"anes88_st_d",59
"12",0,0,70,1,1,0.333333333333333,"anes88_st_d",70
"13",0,0,73,1,1,1,"anes88_st_d",73
"14",0,0,79,1,1,1,"anes88_st_d",79
"15",0,0,NA,1,1,1,"anes88_st_d",NA
"16",0,1,23,2,3,0.285714285714286,"anes88_st_d",23
"17",0,1,24,1,3,0.5,"anes88_st_d",24
"18",0,1,27,2,3,0.666666666666667,"anes88_st_d",27
"19",0,1,30,1,3,0.5,"anes88_st_d",30
"20",0,1,31,2,3,0.4,"anes88_st_d",31
"21",0,1,33,1,3,0.25,"anes88_st_d",33
"22",0,1,39,2,3,0.333333333333333,"anes88_st_d",39
"23",0,1,41,2,3,0.285714285714286,"anes88_st_d",41
"24",0,1,43,1,3,0.333333333333333,"anes88_st_d",43
"25",0,1,44,1,3,0.25,"anes88_st_d",44
"26",0,1,45,1,3,0.25,"anes88_st_d",45
"27",0,1,46,1,3,0.5,"anes88_st_d",46
"28",0,1,51,1,3,1,"anes88_st_d",51
"29",0,1,53,1,3,0.333333333333333,"anes88_st_d",53
"30",0,1,55,2,3,0.666666666666667,"anes88_st_d",55
"31",0,1,58,2,3,0.666666666666667,"anes88_st_d",58
"32",0,1,59,1,3,0.2,"anes88_st_d",59
"33",0,1,65,1,3,1,"anes88_st_d",65
"34",0,1,66,1,3,0.2,"anes88_st_d",66
"35",0,1,68,1,3,0.2,"anes88_st_d",68
"36",0,1,76,1,3,0.333333333333333,"anes88_st_d",76
"37",1,0,21,1,2,0.333333333333333,"anes88_st_d",21
"38",1,0,22,1,2,0.5,"anes88_st_d",22
"39",1,0,23,3,2,0.428571428571429,"anes88_st_d",23
"40",1,0,25,1,2,1,"anes88_st_d",25
