"","SINCERE_MAX2","STRATEGIC_MAX2","VST0536","n","sincere_strategic","percent","df","age"
"1",0,0,19,1,1,0.5,"anes88_st_r",19
"2",0,0,24,1,1,0.0909090909090909,"anes88_st_r",24
"3",0,0,28,4,1,0.285714285714286,"anes88_st_r",28
"4",0,0,33,2,1,0.333333333333333,"anes88_st_r",33
"5",0,0,36,1,1,0.125,"anes88_st_r",36
"6",0,0,37,1,1,0.0909090909090909,"anes88_st_r",37
"7",0,0,39,1,1,0.25,"anes88_st_r",39
"8",0,0,40,1,1,0.1,"anes88_st_r",40
"9",0,0,43,2,1,0.4,"anes88_st_r",43
"10",0,0,48,1,1,0.2,"anes88_st_r",48
"11",0,0,49,1,1,0.166666666666667,"anes88_st_r",49
"12",0,0,52,1,1,1,"anes88_st_r",52
"13",0,0,57,1,1,0.166666666666667,"anes88_st_r",57
"14",0,0,58,1,1,0.5,"anes88_st_r",58
"15",0,0,60,1,1,0.166666666666667,"anes88_st_r",60
"16",0,0,72,1,1,0.166666666666667,"anes88_st_r",72
"17",0,0,74,1,1,0.333333333333333,"anes88_st_r",74
"18",0,0,76,1,1,0.5,"anes88_st_r",76
"19",0,0,79,1,1,1,"anes88_st_r",79
"20",0,1,20,1,3,0.25,"anes88_st_r",20
"21",0,1,23,1,3,0.125,"anes88_st_r",23
"22",0,1,25,1,3,0.111111111111111,"anes88_st_r",25
"23",0,1,26,3,3,0.375,"anes88_st_r",26
"24",0,1,28,1,3,0.0714285714285714,"anes88_st_r",28
"25",0,1,29,1,3,0.166666666666667,"anes88_st_r",29
"26",0,1,30,1,3,0.142857142857143,"anes88_st_r",30
"27",0,1,31,2,3,0.4,"anes88_st_r",31
"28",0,1,32,1,3,0.142857142857143,"anes88_st_r",32
"29",0,1,34,2,3,0.2,"anes88_st_r",34
"30",0,1,36,1,3,0.125,"anes88_st_r",36
"31",0,1,37,2,3,0.181818181818182,"anes88_st_r",37
"32",0,1,38,2,3,0.181818181818182,"anes88_st_r",38
"33",0,1,42,1,3,0.142857142857143,"anes88_st_r",42
"34",0,1,48,1,3,0.2,"anes88_st_r",48
"35",0,1,49,1,3,0.166666666666667,"anes88_st_r",49
