"","SINCERE_MAX2","STRATEGIC_MAX2","cWA02","n","sincere_strategic","percent","df","age"
"1",0,0,22,1,1,0.1,"naes04_national",22
"2",0,0,32,1,1,0.0666666666666667,"naes04_national",32
"3",0,0,34,1,1,0.111111111111111,"naes04_national",34
"4",0,0,36,1,1,0.0666666666666667,"naes04_national",36
"5",0,0,38,2,1,0.2,"naes04_national",38
"6",0,0,47,1,1,0.0666666666666667,"naes04_national",47
"7",0,0,49,1,1,0.0588235294117647,"naes04_national",49
"8",0,0,53,1,1,0.05,"naes04_national",53
"9",0,0,56,1,1,0.0416666666666667,"naes04_national",56
"10",0,0,59,2,1,0.181818181818182,"naes04_national",59
"11",0,0,60,2,1,0.117647058823529,"naes04_national",60
"12",0,0,65,1,1,0.0666666666666667,"naes04_national",65
"13",0,0,67,1,1,0.125,"naes04_national",67
"14",0,0,69,1,1,0.125,"naes04_national",69
"15",0,0,70,1,1,0.111111111111111,"naes04_national",70
"16",0,0,73,1,1,0.0769230769230769,"naes04_national",73
"17",0,0,76,1,1,0.166666666666667,"naes04_national",76
"18",0,0,80,1,1,0.166666666666667,"naes04_national",80
"19",0,1,20,2,3,0.4,"naes04_national",20
"20",0,1,22,3,3,0.3,"naes04_national",22
"21",0,1,23,3,3,0.333333333333333,"naes04_national",23
"22",0,1,24,2,3,0.333333333333333,"naes04_national",24
"23",0,1,25,2,3,0.4,"naes04_national",25
"24",0,1,27,2,3,0.166666666666667,"naes04_national",27
"25",0,1,28,2,3,0.333333333333333,"naes04_national",28
"26",0,1,30,3,3,0.230769230769231,"naes04_national",30
"27",0,1,31,2,3,0.2,"naes04_national",31
"28",0,1,32,2,3,0.133333333333333,"naes04_national",32
"29",0,1,33,1,3,0.0833333333333333,"naes04_national",33
"30",0,1,34,1,3,0.111111111111111,"naes04_national",34
"31",0,1,35,2,3,0.111111111111111,"naes04_national",35
"32",0,1,36,1,3,0.0666666666666667,"naes04_national",36
"33",0,1,37,4,3,0.181818181818182,"naes04_national",37
"34",0,1,38,4,3,0.4,"naes04_national",38
"35",0,1,39,3,3,0.214285714285714,"naes04_national",39
"36",0,1,40,2,3,0.125,"naes04_national",40
"37",0,1,41,1,3,0.0588235294117647,"naes04_national",41
"38",0,1,42,2,3,0.125,"naes04_national",42
"39",0,1,43,3,3,0.2,"naes04_national",43
"40",0,1,44,5,3,0.3125,"naes04_national",44
"41",0,1,45,5,3,0.185185185185185,"naes04_national",45
"42",0,1,46,3,3,0.157894736842105,"naes04_national",46
"43",0,1,47,2,3,0.133333333333333,"naes04_national",47
"44",0,1,48,4,3,0.16,"naes04_national",48
"45",0,1,49,3,3,0.176470588235294,"naes04_national",49
"46",0,1,50,2,3,0.0833333333333333,"naes04_national",50
"47",0,1,52,1,3,0.0434782608695652,"naes04_national",52
"48",0,1,53,3,3,0.15,"naes04_national",53
