"","SINCERE_MAX2","STRATEGIC_MAX2","VST0541","n","sincere_strategic","percent","df","education"
"1",0,0,2,1,1,0.2,"anes88_st_d","SOMEHS"
"2",0,0,3,3,1,0.0810810810810811,"anes88_st_d","HS"
"3",0,0,4,5,1,0.111111111111111,"anes88_st_d","SOMECOLLEGE"
"4",0,0,5,3,1,0.0681818181818182,"anes88_st_d","BACHELORS"
"5",0,0,6,5,1,0.0943396226415094,"anes88_st_d","PROFESSIONAL"
"6",0,1,1,1,3,0.5,"anes88_st_d","GRADE8-"
"7",0,1,3,3,3,0.0810810810810811,"anes88_st_d","HS"
"8",0,1,4,8,3,0.177777777777778,"anes88_st_d","SOMECOLLEGE"
"9",0,1,5,4,3,0.0909090909090909,"anes88_st_d","BACHELORS"
"10",0,1,6,11,3,0.207547169811321,"anes88_st_d","PROFESSIONAL"
"11",0,1,NA,1,3,0.333333333333333,"anes88_st_d",NA
"12",1,0,3,11,2,0.297297297297297,"anes88_st_d","HS"
"13",1,0,4,12,2,0.266666666666667,"anes88_st_d","SOMECOLLEGE"
"14",1,0,5,9,2,0.204545454545455,"anes88_st_d","BACHELORS"
"15",1,0,6,18,2,0.339622641509434,"anes88_st_d","PROFESSIONAL"
"16",1,1,1,1,4,0.5,"anes88_st_d","GRADE8-"
"17",1,1,2,4,4,0.8,"anes88_st_d","SOMEHS"
"18",1,1,3,20,4,0.540540540540541,"anes88_st_d","HS"
"19",1,1,4,20,4,0.444444444444444,"anes88_st_d","SOMECOLLEGE"
"20",1,1,5,28,4,0.636363636363636,"anes88_st_d","BACHELORS"
"21",1,1,6,19,4,0.358490566037736,"anes88_st_d","PROFESSIONAL"
"22",1,1,NA,2,4,0.666666666666667,"anes88_st_d",NA
