"","SINCERE_MAX2","STRATEGIC_MAX2","VST0541","n","sincere_strategic","percent","df","education"
"1",0,0,2,1,1,0.142857142857143,"anes88_st_r","SOMEHS"
"2",0,0,3,8,1,0.117647058823529,"anes88_st_r","HS"
"3",0,0,4,9,1,0.0882352941176471,"anes88_st_r","SOMECOLLEGE"
"4",0,0,5,1,1,0.0151515151515152,"anes88_st_r","BACHELORS"
"5",0,0,6,5,1,0.0735294117647059,"anes88_st_r","PROFESSIONAL"
"6",0,1,1,1,3,0.5,"anes88_st_r","GRADE8-"
"7",0,1,2,1,3,0.142857142857143,"anes88_st_r","SOMEHS"
"8",0,1,3,10,3,0.147058823529412,"anes88_st_r","HS"
"9",0,1,4,14,3,0.137254901960784,"anes88_st_r","SOMECOLLEGE"
"10",0,1,5,9,3,0.136363636363636,"anes88_st_r","BACHELORS"
"11",0,1,6,7,3,0.102941176470588,"anes88_st_r","PROFESSIONAL"
"12",1,0,1,1,2,0.5,"anes88_st_r","GRADE8-"
"13",1,0,2,4,2,0.571428571428571,"anes88_st_r","SOMEHS"
"14",1,0,3,7,2,0.102941176470588,"anes88_st_r","HS"
"15",1,0,4,16,2,0.156862745098039,"anes88_st_r","SOMECOLLEGE"
"16",1,0,5,15,2,0.227272727272727,"anes88_st_r","BACHELORS"
"17",1,0,6,17,2,0.25,"anes88_st_r","PROFESSIONAL"
"18",1,1,2,1,4,0.142857142857143,"anes88_st_r","SOMEHS"
"19",1,1,3,43,4,0.632352941176471,"anes88_st_r","HS"
"20",1,1,4,63,4,0.617647058823529,"anes88_st_r","SOMECOLLEGE"
"21",1,1,5,41,4,0.621212121212121,"anes88_st_r","BACHELORS"
"22",1,1,6,39,4,0.573529411764706,"anes88_st_r","PROFESSIONAL"
"23",1,1,NA,2,4,1,"anes88_st_r",NA
