"","SINCERE_MAX2","STRATEGIC_MAX2","cw06","n","sincere_strategic","percent","df","education"
"1",0,0,1,3,1,0.0909090909090909,"naes00_national_d","GRADE8-"
"2",0,0,2,2,1,0.025974025974026,"naes00_national_d","SOMEHS"
"3",0,0,3,13,1,0.0388059701492537,"naes00_national_d","HS"
"4",0,0,4,1,1,0.0344827586206897,"naes00_national_d","VOCATIONAL"
"5",0,0,5,3,1,0.013953488372093,"naes00_national_d","SOMECOLLEGE"
"6",0,0,6,1,1,0.01,"naes00_national_d","ASSOCIATES"
"7",0,0,7,6,1,0.0265486725663717,"naes00_national_d","BACHELORS"
"8",0,0,8,1,1,0.024390243902439,"naes00_national_d","SOMEPROFESSIONAL"
"9",0,0,9,2,1,0.0114942528735632,"naes00_national_d","PROFESSIONAL"
"10",0,1,1,14,3,0.424242424242424,"naes00_national_d","GRADE8-"
"11",0,1,2,17,3,0.220779220779221,"naes00_national_d","SOMEHS"
"12",0,1,3,81,3,0.241791044776119,"naes00_national_d","HS"
"13",0,1,4,6,3,0.206896551724138,"naes00_national_d","VOCATIONAL"
"14",0,1,5,39,3,0.181395348837209,"naes00_national_d","SOMECOLLEGE"
"15",0,1,6,20,3,0.2,"naes00_national_d","ASSOCIATES"
"16",0,1,7,36,3,0.15929203539823,"naes00_national_d","BACHELORS"
"17",0,1,8,4,3,0.0975609756097561,"naes00_national_d","SOMEPROFESSIONAL"
"18",0,1,9,15,3,0.0862068965517241,"naes00_national_d","PROFESSIONAL"
"19",0,1,NA,1,3,0.166666666666667,"naes00_national_d",NA
"20",1,0,1,1,2,0.0303030303030303,"naes00_national_d","GRADE8-"
"21",1,0,2,12,2,0.155844155844156,"naes00_national_d","SOMEHS"
"22",1,0,3,33,2,0.0985074626865672,"naes00_national_d","HS"
"23",1,0,4,6,2,0.206896551724138,"naes00_national_d","VOCATIONAL"
"24",1,0,5,35,2,0.162790697674419,"naes00_national_d","SOMECOLLEGE"
"25",1,0,6,18,2,0.18,"naes00_national_d","ASSOCIATES"
"26",1,0,7,46,2,0.20353982300885,"naes00_national_d","BACHELORS"
"27",1,0,8,5,2,0.121951219512195,"naes00_national_d","SOMEPROFESSIONAL"
"28",1,0,9,51,2,0.293103448275862,"naes00_national_d","PROFESSIONAL"
"29",1,0,NA,1,2,0.166666666666667,"naes00_national_d",NA
"30",1,1,1,15,4,0.454545454545455,"naes00_national_d","GRADE8-"
"31",1,1,2,46,4,0.597402597402597,"naes00_national_d","SOMEHS"
"32",1,1,3,208,4,0.62089552238806,"naes00_national_d","HS"
"33",1,1,4,16,4,0.551724137931034,"naes00_national_d","VOCATIONAL"
"34",1,1,5,138,4,0.641860465116279,"naes00_national_d","SOMECOLLEGE"
"35",1,1,6,61,4,0.61,"naes00_national_d","ASSOCIATES"
"36",1,1,7,138,4,0.610619469026549,"naes00_national_d","BACHELORS"
"37",1,1,8,31,4,0.75609756097561,"naes00_national_d","SOMEPROFESSIONAL"
"38",1,1,9,106,4,0.609195402298851,"naes00_national_d","PROFESSIONAL"
"39",1,1,NA,4,4,0.666666666666667,"naes00_national_d",NA
