"","SINCERE_MAX2","STRATEGIC_MAX2","WA03_c","n","sincere_strategic","percent","df","education"
"1",0,0,1,2,1,0.0317460317460317,"naes08_phone_d","GRADE8-"
"2",0,0,2,13,1,0.0738636363636364,"naes08_phone_d","SOMEHS"
"3",0,0,3,63,1,0.0671641791044776,"naes08_phone_d","HS"
"4",0,0,4,3,1,0.0384615384615385,"naes08_phone_d","VOCATIONAL"
"5",0,0,5,29,1,0.0410764872521246,"naes08_phone_d","SOMECOLLEGE"
"6",0,0,6,15,1,0.0473186119873817,"naes08_phone_d","ASSOCIATES"
"7",0,0,7,54,1,0.0697674418604651,"naes08_phone_d","BACHELORS"
"8",0,0,8,12,1,0.0641711229946524,"naes08_phone_d","SOMEPROFESSIONAL"
"9",0,0,9,46,1,0.0610889774236388,"naes08_phone_d","PROFESSIONAL"
"10",0,0,NA,2,1,0.0434782608695652,"naes08_phone_d",NA
"11",0,1,1,8,3,0.126984126984127,"naes08_phone_d","GRADE8-"
"12",0,1,2,15,3,0.0852272727272727,"naes08_phone_d","SOMEHS"
"13",0,1,3,81,3,0.0863539445628998,"naes08_phone_d","HS"
"14",0,1,4,11,3,0.141025641025641,"naes08_phone_d","VOCATIONAL"
"15",0,1,5,65,3,0.0920679886685552,"naes08_phone_d","SOMECOLLEGE"
"16",0,1,6,34,3,0.107255520504732,"naes08_phone_d","ASSOCIATES"
"17",0,1,7,64,3,0.082687338501292,"naes08_phone_d","BACHELORS"
"18",0,1,8,18,3,0.0962566844919786,"naes08_phone_d","SOMEPROFESSIONAL"
"19",0,1,9,68,3,0.0903054448871182,"naes08_phone_d","PROFESSIONAL"
"20",0,1,NA,6,3,0.130434782608696,"naes08_phone_d",NA
"21",1,0,1,6,2,0.0952380952380952,"naes08_phone_d","GRADE8-"
"22",1,0,2,23,2,0.130681818181818,"naes08_phone_d","SOMEHS"
"23",1,0,3,141,2,0.150319829424307,"naes08_phone_d","HS"
"24",1,0,4,9,2,0.115384615384615,"naes08_phone_d","VOCATIONAL"
"25",1,0,5,142,2,0.201133144475921,"naes08_phone_d","SOMECOLLEGE"
"26",1,0,6,68,2,0.214511041009464,"naes08_phone_d","ASSOCIATES"
"27",1,0,7,184,2,0.237726098191214,"naes08_phone_d","BACHELORS"
"28",1,0,8,36,2,0.192513368983957,"naes08_phone_d","SOMEPROFESSIONAL"
"29",1,0,9,164,2,0.217795484727756,"naes08_phone_d","PROFESSIONAL"
"30",1,0,NA,7,2,0.152173913043478,"naes08_phone_d",NA
"31",1,1,1,47,4,0.746031746031746,"naes08_phone_d","GRADE8-"
"32",1,1,2,125,4,0.710227272727273,"naes08_phone_d","SOMEHS"
"33",1,1,3,653,4,0.696162046908316,"naes08_phone_d","HS"
"34",1,1,4,55,4,0.705128205128205,"naes08_phone_d","VOCATIONAL"
"35",1,1,5,470,4,0.665722379603399,"naes08_phone_d","SOMECOLLEGE"
"36",1,1,6,200,4,0.630914826498423,"naes08_phone_d","ASSOCIATES"
"37",1,1,7,472,4,0.609819121447028,"naes08_phone_d","BACHELORS"
"38",1,1,8,121,4,0.647058823529412,"naes08_phone_d","SOMEPROFESSIONAL"
"39",1,1,9,475,4,0.630810092961487,"naes08_phone_d","PROFESSIONAL"
"40",1,1,NA,31,4,0.673913043478261,"naes08_phone_d",NA
