"","SINCERE_MAX2","STRATEGIC_MAX2","VST0425","n","sincere_strategic","percent","df","ideology"
"1",0,0,0,2,1,0.0645161290322581,"anes88_st_r",NA
"2",0,0,3,1,1,0.0526315789473684,"anes88_st_r","SOMEWHATLIBERAL"
"3",0,0,4,7,1,0.152173913043478,"anes88_st_r","MODERATE"
"4",0,0,5,5,1,0.05,"anes88_st_r","SOMEWHATCONSERVATIVE"
"5",0,0,6,7,1,0.1,"anes88_st_r","SOMEWHATCONSERVATIVE"
"6",0,0,7,2,1,0.0571428571428571,"anes88_st_r","VERYCONSERVATIVE"
"7",0,1,0,1,3,0.032258064516129,"anes88_st_r",NA
"8",0,1,2,3,3,0.3,"anes88_st_r","SOMEWHATLIBERAL"
"9",0,1,3,4,3,0.210526315789474,"anes88_st_r","SOMEWHATLIBERAL"
"10",0,1,4,2,3,0.0434782608695652,"anes88_st_r","MODERATE"
"11",0,1,5,11,3,0.11,"anes88_st_r","SOMEWHATCONSERVATIVE"
"12",0,1,6,15,3,0.214285714285714,"anes88_st_r","SOMEWHATCONSERVATIVE"
"13",0,1,7,5,3,0.142857142857143,"anes88_st_r","VERYCONSERVATIVE"
"14",0,1,NA,1,3,0.333333333333333,"anes88_st_r",NA
"15",1,0,0,7,2,0.225806451612903,"anes88_st_r",NA
"16",1,0,2,4,2,0.4,"anes88_st_r","SOMEWHATLIBERAL"
"17",1,0,3,5,2,0.263157894736842,"anes88_st_r","SOMEWHATLIBERAL"
"18",1,0,4,4,2,0.0869565217391304,"anes88_st_r","MODERATE"
"19",1,0,5,19,2,0.19,"anes88_st_r","SOMEWHATCONSERVATIVE"
"20",1,0,6,10,2,0.142857142857143,"anes88_st_r","SOMEWHATCONSERVATIVE"
"21",1,0,7,10,2,0.285714285714286,"anes88_st_r","VERYCONSERVATIVE"
"22",1,0,NA,1,2,0.333333333333333,"anes88_st_r",NA
"23",1,1,0,21,4,0.67741935483871,"anes88_st_r",NA
"24",1,1,1,1,4,1,"anes88_st_r","VERYLIBERAL"
"25",1,1,2,3,4,0.3,"anes88_st_r","SOMEWHATLIBERAL"
"26",1,1,3,9,4,0.473684210526316,"anes88_st_r","SOMEWHATLIBERAL"
"27",1,1,4,33,4,0.717391304347826,"anes88_st_r","MODERATE"
"28",1,1,5,65,4,0.65,"anes88_st_r","SOMEWHATCONSERVATIVE"
"29",1,1,6,38,4,0.542857142857143,"anes88_st_r","SOMEWHATCONSERVATIVE"
"30",1,1,7,18,4,0.514285714285714,"anes88_st_r","VERYCONSERVATIVE"
"31",1,1,NA,1,4,0.333333333333333,"anes88_st_r",NA
