"","SINCERE_MAX2","STRATEGIC_MAX2","cMA06","n","sincere_strategic","percent","df","ideology"
"1",0,0,1,1,1,0.0434782608695652,"naes04_national","VERYCONSERVATIVE"
"2",0,0,2,4,1,0.032,"naes04_national","SOMEWHATCONSERVATIVE"
"3",0,0,3,10,1,0.0303951367781155,"naes04_national","MODERATE"
"4",0,0,4,5,1,0.0240384615384615,"naes04_national","SOMEWHATLIBERAL"
"5",0,0,5,1,1,0.0138888888888889,"naes04_national","VERYLIBERAL"
"6",0,1,1,4,3,0.173913043478261,"naes04_national","VERYCONSERVATIVE"
"7",0,1,2,28,3,0.224,"naes04_national","SOMEWHATCONSERVATIVE"
"8",0,1,3,55,3,0.167173252279635,"naes04_national","MODERATE"
"9",0,1,4,21,3,0.100961538461538,"naes04_national","SOMEWHATLIBERAL"
"10",0,1,5,6,3,0.0833333333333333,"naes04_national","VERYLIBERAL"
"11",0,1,NA,2,3,0.25,"naes04_national",NA
"12",1,0,1,4,2,0.173913043478261,"naes04_national","VERYCONSERVATIVE"
"13",1,0,2,21,2,0.168,"naes04_national","SOMEWHATCONSERVATIVE"
"14",1,0,3,65,2,0.197568389057751,"naes04_national","MODERATE"
"15",1,0,4,36,2,0.173076923076923,"naes04_national","SOMEWHATLIBERAL"
"16",1,0,5,14,2,0.194444444444444,"naes04_national","VERYLIBERAL"
"17",1,0,NA,2,2,0.25,"naes04_national",NA
"18",1,1,1,14,4,0.608695652173913,"naes04_national","VERYCONSERVATIVE"
"19",1,1,2,72,4,0.576,"naes04_national","SOMEWHATCONSERVATIVE"
"20",1,1,3,199,4,0.604863221884498,"naes04_national","MODERATE"
"21",1,1,4,146,4,0.701923076923077,"naes04_national","SOMEWHATLIBERAL"
"22",1,1,5,51,4,0.708333333333333,"naes04_national","VERYLIBERAL"
"23",1,1,NA,4,4,0.5,"naes04_national",NA
