"","SINCERE_MAX2","STRATEGIC_MAX2","MA04_c","n","sincere_strategic","percent","df","ideology"
"1",0,0,1,13,1,0.0543933054393305,"naes08_phone_d","VERYCONSERVATIVE"
"2",0,0,2,51,1,0.0722379603399433,"naes08_phone_d","SOMEWHATCONSERVATIVE"
"3",0,0,3,90,1,0.060893098782138,"naes08_phone_d","MODERATE"
"4",0,0,4,55,1,0.0518378887841659,"naes08_phone_d","SOMEWHATLIBERAL"
"5",0,0,5,24,1,0.0508474576271186,"naes08_phone_d","VERYLIBERAL"
"6",0,0,NA,6,1,0.0731707317073171,"naes08_phone_d",NA
"7",0,1,1,15,3,0.0627615062761506,"naes08_phone_d","VERYCONSERVATIVE"
"8",0,1,2,68,3,0.0963172804532578,"naes08_phone_d","SOMEWHATCONSERVATIVE"
"9",0,1,3,140,3,0.094722598105548,"naes08_phone_d","MODERATE"
"10",0,1,4,93,3,0.0876531573986805,"naes08_phone_d","SOMEWHATLIBERAL"
"11",0,1,5,44,3,0.0932203389830508,"naes08_phone_d","VERYLIBERAL"
"12",0,1,NA,10,3,0.121951219512195,"naes08_phone_d",NA
"13",1,0,1,44,2,0.184100418410042,"naes08_phone_d","VERYCONSERVATIVE"
"14",1,0,2,145,2,0.205382436260623,"naes08_phone_d","SOMEWHATCONSERVATIVE"
"15",1,0,3,276,2,0.186738836265223,"naes08_phone_d","MODERATE"
"16",1,0,4,195,2,0.183788878416588,"naes08_phone_d","SOMEWHATLIBERAL"
"17",1,0,5,113,2,0.239406779661017,"naes08_phone_d","VERYLIBERAL"
"18",1,0,NA,7,2,0.0853658536585366,"naes08_phone_d",NA
"19",1,1,1,167,4,0.698744769874477,"naes08_phone_d","VERYCONSERVATIVE"
"20",1,1,2,442,4,0.626062322946176,"naes08_phone_d","SOMEWHATCONSERVATIVE"
"21",1,1,3,972,4,0.657645466847091,"naes08_phone_d","MODERATE"
"22",1,1,4,718,4,0.676720075400566,"naes08_phone_d","SOMEWHATLIBERAL"
"23",1,1,5,291,4,0.616525423728814,"naes08_phone_d","VERYLIBERAL"
"24",1,1,NA,59,4,0.719512195121951,"naes08_phone_d",NA
