"","SINCERE_MAX2","STRATEGIC_MAX2","VCM0734","n","sincere_strategic","percent","df","party_strength"
"1",0,0,0,1,1,0.0714285714285714,"anes84_cm_d","STRONG"
"2",0,0,1,1,1,0.0666666666666667,"anes84_cm_d","NOTVERYSTRONG"
"3",0,1,0,3,3,0.214285714285714,"anes84_cm_d","STRONG"
"4",0,1,1,1,3,0.0666666666666667,"anes84_cm_d","NOTVERYSTRONG"
"5",0,1,2,1,3,0.1,"anes84_cm_d","NOTVERYSTRONG"
"6",0,1,5,2,3,0.25,"anes84_cm_d","NOTVERYSTRONG"
"7",1,0,0,3,2,0.214285714285714,"anes84_cm_d","STRONG"
"8",1,0,1,1,2,0.0666666666666667,"anes84_cm_d","NOTVERYSTRONG"
"9",1,0,2,1,2,0.1,"anes84_cm_d","NOTVERYSTRONG"
"10",1,0,3,1,2,0.142857142857143,"anes84_cm_d",NA
"11",1,0,4,2,2,0.25,"anes84_cm_d","NOTVERYSTRONG"
"12",1,0,5,1,2,0.125,"anes84_cm_d","NOTVERYSTRONG"
"13",1,0,6,2,2,0.2,"anes84_cm_d","STRONG"
"14",1,1,0,7,4,0.5,"anes84_cm_d","STRONG"
"15",1,1,1,12,4,0.8,"anes84_cm_d","NOTVERYSTRONG"
"16",1,1,2,8,4,0.8,"anes84_cm_d","NOTVERYSTRONG"
"17",1,1,3,6,4,0.857142857142857,"anes84_cm_d",NA
"18",1,1,4,6,4,0.75,"anes84_cm_d","NOTVERYSTRONG"
"19",1,1,5,5,4,0.625,"anes84_cm_d","NOTVERYSTRONG"
"20",1,1,6,8,4,0.8,"anes84_cm_d","STRONG"
