"","SINCERE_MAX2","STRATEGIC_MAX2","VST0264","n","sincere_strategic","percent","df","party_strength"
"1",0,0,0,3,1,0.046875,"anes88_st_d","STRONG"
"2",0,0,1,6,1,0.12,"anes88_st_d","NOTVERYSTRONG"
"3",0,0,2,3,1,0.0810810810810811,"anes88_st_d","NOTVERYSTRONG"
"4",0,0,3,1,1,0.125,"anes88_st_d",NA
"5",0,0,4,3,1,0.136363636363636,"anes88_st_d","NOTVERYSTRONG"
"6",0,0,8,1,1,0.333333333333333,"anes88_st_d","OTHER"
"7",0,1,0,9,3,0.140625,"anes88_st_d","STRONG"
"8",0,1,1,7,3,0.14,"anes88_st_d","NOTVERYSTRONG"
"9",0,1,2,5,3,0.135135135135135,"anes88_st_d","NOTVERYSTRONG"
"10",0,1,3,2,3,0.25,"anes88_st_d",NA
"11",0,1,4,2,3,0.0909090909090909,"anes88_st_d","NOTVERYSTRONG"
"12",0,1,6,2,3,1,"anes88_st_d","STRONG"
"13",0,1,8,1,3,0.333333333333333,"anes88_st_d","OTHER"
"14",1,0,0,20,2,0.3125,"anes88_st_d","STRONG"
"15",1,0,1,12,2,0.24,"anes88_st_d","NOTVERYSTRONG"
"16",1,0,2,5,2,0.135135135135135,"anes88_st_d","NOTVERYSTRONG"
"17",1,0,3,2,2,0.25,"anes88_st_d",NA
"18",1,0,4,10,2,0.454545454545455,"anes88_st_d","NOTVERYSTRONG"
"19",1,0,5,1,2,0.333333333333333,"anes88_st_d","NOTVERYSTRONG"
"20",1,1,0,32,4,0.5,"anes88_st_d","STRONG"
"21",1,1,1,25,4,0.5,"anes88_st_d","NOTVERYSTRONG"
"22",1,1,2,24,4,0.648648648648649,"anes88_st_d","NOTVERYSTRONG"
"23",1,1,3,3,4,0.375,"anes88_st_d",NA
"24",1,1,4,7,4,0.318181818181818,"anes88_st_d","NOTVERYSTRONG"
"25",1,1,5,2,4,0.666666666666667,"anes88_st_d","NOTVERYSTRONG"
"26",1,1,8,1,4,0.333333333333333,"anes88_st_d","OTHER"
