"","SINCERE_MAX2","STRATEGIC_MAX2","VST0264","n","sincere_strategic","percent","df","party_strength"
"1",0,0,3,1,1,0.1,"anes88_st_r",NA
"2",0,0,4,10,1,0.114942528735632,"anes88_st_r","NOTVERYSTRONG"
"3",0,0,5,6,1,0.0652173913043478,"anes88_st_r","NOTVERYSTRONG"
"4",0,0,6,7,1,0.0625,"anes88_st_r","STRONG"
"5",0,1,1,4,3,0.571428571428571,"anes88_st_r","NOTVERYSTRONG"
"6",0,1,2,1,3,0.25,"anes88_st_r","NOTVERYSTRONG"
"7",0,1,3,1,3,0.1,"anes88_st_r",NA
"8",0,1,4,10,3,0.114942528735632,"anes88_st_r","NOTVERYSTRONG"
"9",0,1,5,16,3,0.173913043478261,"anes88_st_r","NOTVERYSTRONG"
"10",0,1,6,10,3,0.0892857142857143,"anes88_st_r","STRONG"
"11",1,0,1,2,2,0.285714285714286,"anes88_st_r","NOTVERYSTRONG"
"12",1,0,3,3,2,0.3,"anes88_st_r",NA
"13",1,0,4,9,2,0.103448275862069,"anes88_st_r","NOTVERYSTRONG"
"14",1,0,5,18,2,0.195652173913043,"anes88_st_r","NOTVERYSTRONG"
"15",1,0,6,27,2,0.241071428571429,"anes88_st_r","STRONG"
"16",1,0,8,1,2,1,"anes88_st_r","OTHER"
"17",1,1,0,2,4,1,"anes88_st_r","STRONG"
"18",1,1,1,1,4,0.142857142857143,"anes88_st_r","NOTVERYSTRONG"
"19",1,1,2,3,4,0.75,"anes88_st_r","NOTVERYSTRONG"
"20",1,1,3,5,4,0.5,"anes88_st_r",NA
"21",1,1,4,58,4,0.666666666666667,"anes88_st_r","NOTVERYSTRONG"
"22",1,1,5,52,4,0.565217391304348,"anes88_st_r","NOTVERYSTRONG"
"23",1,1,6,68,4,0.607142857142857,"anes88_st_r","STRONG"
