"","SINCERE_MAX2","STRATEGIC_MAX2","cv02","n","sincere_strategic","percent","df","party_strength"
"1",0,0,1,16,1,0.0248062015503876,"naes00_national_d","STRONG"
"2",0,0,2,12,1,0.0238095238095238,"naes00_national_d","NOTVERYSTRONG"
"3",0,0,NA,4,1,0.0459770114942529,"naes00_national_d",NA
"4",0,1,1,110,3,0.170542635658915,"naes00_national_d","STRONG"
"5",0,1,2,100,3,0.198412698412698,"naes00_national_d","NOTVERYSTRONG"
"6",0,1,NA,23,3,0.264367816091954,"naes00_national_d",NA
"7",1,0,1,117,2,0.181395348837209,"naes00_national_d","STRONG"
"8",1,0,2,77,2,0.152777777777778,"naes00_national_d","NOTVERYSTRONG"
"9",1,0,NA,14,2,0.160919540229885,"naes00_national_d",NA
"10",1,1,1,402,4,0.623255813953488,"naes00_national_d","STRONG"
"11",1,1,2,315,4,0.625,"naes00_national_d","NOTVERYSTRONG"
"12",1,1,NA,46,4,0.528735632183908,"naes00_national_d",NA
