"","SINCERE_MAX2","STRATEGIC_MAX2","MA02_c","n","sincere_strategic","percent","df","party_strength"
"1",0,0,1,101,1,0.0693205216197667,"naes08_phone_r","STRONG"
"2",0,0,2,53,1,0.0647130647130647,"naes08_phone_r","NOTVERYSTRONG"
"3",0,0,NA,19,1,0.0725190839694656,"naes08_phone_r",NA
"4",0,1,1,127,3,0.0871654083733699,"naes08_phone_r","STRONG"
"5",0,1,2,80,3,0.0976800976800977,"naes08_phone_r","NOTVERYSTRONG"
"6",0,1,NA,31,3,0.118320610687023,"naes08_phone_r",NA
"7",1,0,1,188,2,0.129032258064516,"naes08_phone_r","STRONG"
"8",1,0,2,126,2,0.153846153846154,"naes08_phone_r","NOTVERYSTRONG"
"9",1,0,NA,40,2,0.152671755725191,"naes08_phone_r",NA
"10",1,1,1,1041,4,0.714481811942347,"naes08_phone_r","STRONG"
"11",1,1,2,560,4,0.683760683760684,"naes08_phone_r","NOTVERYSTRONG"
"12",1,1,NA,172,4,0.656488549618321,"naes08_phone_r",NA
