"","SINCERE_MAX2","STRATEGIC_MAX2","VST0108","n","sincere_strategic","percent","df","political_interest"
"1",0,0,1,7,1,0.0625,"anes88_st_d","VERYCLOSELY"
"2",0,0,3,4,1,0.0634920634920635,"anes88_st_d","NOTTOOCLOSELY"
"3",0,0,5,6,1,0.428571428571429,"anes88_st_d",NA
"4",0,1,1,15,3,0.133928571428571,"anes88_st_d","VERYCLOSELY"
"5",0,1,3,13,3,0.206349206349206,"anes88_st_d","NOTTOOCLOSELY"
"6",1,0,1,29,2,0.258928571428571,"anes88_st_d","VERYCLOSELY"
"7",1,0,3,18,2,0.285714285714286,"anes88_st_d","NOTTOOCLOSELY"
"8",1,0,5,3,2,0.214285714285714,"anes88_st_d",NA
"9",1,1,1,61,4,0.544642857142857,"anes88_st_d","VERYCLOSELY"
"10",1,1,3,28,4,0.444444444444444,"anes88_st_d","NOTTOOCLOSELY"
"11",1,1,5,5,4,0.357142857142857,"anes88_st_d",NA
