"","SINCERE_MAX2","STRATEGIC_MAX2","VST0108","n","sincere_strategic","percent","df","political_interest"
"1",0,0,1,12,1,0.0662983425414365,"anes88_st_r","VERYCLOSELY"
"2",0,0,3,9,1,0.0810810810810811,"anes88_st_r","NOTTOOCLOSELY"
"3",0,0,5,3,1,0.136363636363636,"anes88_st_r",NA
"4",0,1,1,24,3,0.132596685082873,"anes88_st_r","VERYCLOSELY"
"5",0,1,3,15,3,0.135135135135135,"anes88_st_r","NOTTOOCLOSELY"
"6",0,1,5,2,3,0.0909090909090909,"anes88_st_r",NA
"7",0,1,NA,1,3,1,"anes88_st_r",NA
"8",1,0,1,35,2,0.193370165745856,"anes88_st_r","VERYCLOSELY"
"9",1,0,3,22,2,0.198198198198198,"anes88_st_r","NOTTOOCLOSELY"
"10",1,0,5,3,2,0.136363636363636,"anes88_st_r",NA
"11",1,1,1,110,4,0.607734806629834,"anes88_st_r","VERYCLOSELY"
"12",1,1,3,65,4,0.585585585585586,"anes88_st_r","NOTTOOCLOSELY"
"13",1,1,5,14,4,0.636363636363636,"anes88_st_r",NA
