"","SINCERE_MAX2","STRATEGIC_MAX2","ck02","n","sincere_strategic","percent","df","political_interest"
"1",0,0,1,3,1,0.0186335403726708,"naes00_national_d","VERYCLOSELY"
"2",0,0,2,10,1,0.0242718446601942,"naes00_national_d","SOMEWHATCLOSELY"
"3",0,0,3,5,1,0.0232558139534884,"naes00_national_d","NOTTOOCLOSELY"
"4",0,0,NA,14,1,0.03125,"naes00_national_d",NA
"5",0,1,1,20,3,0.124223602484472,"naes00_national_d","VERYCLOSELY"
"6",0,1,2,73,3,0.177184466019417,"naes00_national_d","SOMEWHATCLOSELY"
"7",0,1,3,57,3,0.265116279069767,"naes00_national_d","NOTTOOCLOSELY"
"8",0,1,NA,83,3,0.185267857142857,"naes00_national_d",NA
"9",1,0,1,34,2,0.211180124223602,"naes00_national_d","VERYCLOSELY"
"10",1,0,2,79,2,0.191747572815534,"naes00_national_d","SOMEWHATCLOSELY"
"11",1,0,3,30,2,0.13953488372093,"naes00_national_d","NOTTOOCLOSELY"
"12",1,0,NA,65,2,0.145089285714286,"naes00_national_d",NA
"13",1,1,1,104,4,0.645962732919255,"naes00_national_d","VERYCLOSELY"
"14",1,1,2,250,4,0.606796116504854,"naes00_national_d","SOMEWHATCLOSELY"
"15",1,1,3,123,4,0.572093023255814,"naes00_national_d","NOTTOOCLOSELY"
"16",1,1,NA,286,4,0.638392857142857,"naes00_national_d",NA
