"","SINCERE_MAX2","STRATEGIC_MAX2","ck02","n","sincere_strategic","percent","df","political_interest"
"1",0,0,1,4,1,0.0173160173160173,"naes00_national_r","VERYCLOSELY"
"2",0,0,2,8,1,0.0192307692307692,"naes00_national_r","SOMEWHATCLOSELY"
"3",0,0,3,4,1,0.0238095238095238,"naes00_national_r","NOTTOOCLOSELY"
"4",0,0,NA,7,1,0.0159453302961276,"naes00_national_r",NA
"5",0,1,1,17,3,0.0735930735930736,"naes00_national_r","VERYCLOSELY"
"6",0,1,2,52,3,0.125,"naes00_national_r","SOMEWHATCLOSELY"
"7",0,1,3,48,3,0.285714285714286,"naes00_national_r","NOTTOOCLOSELY"
"8",0,1,NA,123,3,0.280182232346241,"naes00_national_r",NA
"9",1,0,1,45,2,0.194805194805195,"naes00_national_r","VERYCLOSELY"
"10",1,0,2,85,2,0.204326923076923,"naes00_national_r","SOMEWHATCLOSELY"
"11",1,0,3,30,2,0.178571428571429,"naes00_national_r","NOTTOOCLOSELY"
"12",1,0,NA,87,2,0.198177676537585,"naes00_national_r",NA
"13",1,1,1,165,4,0.714285714285714,"naes00_national_r","VERYCLOSELY"
"14",1,1,2,271,4,0.651442307692308,"naes00_national_r","SOMEWHATCLOSELY"
"15",1,1,3,86,4,0.511904761904762,"naes00_national_r","NOTTOOCLOSELY"
"16",1,1,NA,222,4,0.505694760820046,"naes00_national_r",NA
