"","SINCERE_MAX2","STRATEGIC_MAX2","cKA02","n","sincere_strategic","percent","df","political_interest"
"1",0,0,1,1,1,0.00490196078431373,"naes04_national","VERYCLOSELY"
"2",0,0,2,11,1,0.0266990291262136,"naes04_national","SOMEWHATCLOSELY"
"3",0,0,3,7,1,0.0666666666666667,"naes04_national","NOTTOOCLOSELY"
"4",0,0,4,1,1,0.0357142857142857,"naes04_national","NOTCLOSELYATALL"
"5",0,0,NA,1,1,0.0625,"naes04_national",NA
"6",0,1,1,21,3,0.102941176470588,"naes04_national","VERYCLOSELY"
"7",0,1,2,64,3,0.155339805825243,"naes04_national","SOMEWHATCLOSELY"
"8",0,1,3,21,3,0.2,"naes04_national","NOTTOOCLOSELY"
"9",0,1,4,7,3,0.25,"naes04_national","NOTCLOSELYATALL"
"10",0,1,NA,3,3,0.1875,"naes04_national",NA
"11",1,0,1,43,2,0.21078431372549,"naes04_national","VERYCLOSELY"
"12",1,0,2,75,2,0.182038834951456,"naes04_national","SOMEWHATCLOSELY"
"13",1,0,3,17,2,0.161904761904762,"naes04_national","NOTTOOCLOSELY"
"14",1,0,4,5,2,0.178571428571429,"naes04_national","NOTCLOSELYATALL"
"15",1,0,NA,2,2,0.125,"naes04_national",NA
"16",1,1,1,139,4,0.681372549019608,"naes04_national","VERYCLOSELY"
"17",1,1,2,262,4,0.635922330097087,"naes04_national","SOMEWHATCLOSELY"
"18",1,1,3,60,4,0.571428571428571,"naes04_national","NOTTOOCLOSELY"
"19",1,1,4,15,4,0.535714285714286,"naes04_national","NOTCLOSELYATALL"
"20",1,1,NA,10,4,0.625,"naes04_national",NA
