"","SINCERE_MAX2","STRATEGIC_MAX2","KA01_c","n","sincere_strategic","percent","df","political_interest"
"1",0,0,1,66,1,0.0476878612716763,"naes08_phone_d","VERYCLOSELY"
"2",0,0,2,125,1,0.0628772635814889,"naes08_phone_d","SOMEWHATCLOSELY"
"3",0,0,3,36,1,0.0684410646387833,"naes08_phone_d","NOTTOOCLOSELY"
"4",0,0,4,10,1,0.0757575757575758,"naes08_phone_d","NOTCLOSELYATALL"
"5",0,0,NA,2,1,0.25,"naes08_phone_d",NA
"6",0,1,1,106,3,0.0765895953757225,"naes08_phone_d","VERYCLOSELY"
"7",0,1,2,189,3,0.0950704225352113,"naes08_phone_d","SOMEWHATCLOSELY"
"8",0,1,3,56,3,0.106463878326996,"naes08_phone_d","NOTTOOCLOSELY"
"9",0,1,4,19,3,0.143939393939394,"naes08_phone_d","NOTCLOSELYATALL"
"10",1,0,1,277,2,0.20014450867052,"naes08_phone_d","VERYCLOSELY"
"11",1,0,2,372,2,0.187122736418511,"naes08_phone_d","SOMEWHATCLOSELY"
"12",1,0,3,103,2,0.195817490494297,"naes08_phone_d","NOTTOOCLOSELY"
"13",1,0,4,27,2,0.204545454545455,"naes08_phone_d","NOTCLOSELYATALL"
"14",1,0,NA,1,2,0.125,"naes08_phone_d",NA
"15",1,1,1,935,4,0.675578034682081,"naes08_phone_d","VERYCLOSELY"
"16",1,1,2,1302,4,0.654929577464789,"naes08_phone_d","SOMEWHATCLOSELY"
"17",1,1,3,331,4,0.629277566539924,"naes08_phone_d","NOTTOOCLOSELY"
"18",1,1,4,76,4,0.575757575757576,"naes08_phone_d","NOTCLOSELYATALL"
"19",1,1,NA,5,4,0.625,"naes08_phone_d",NA
