"","SINCERE_MAX2","STRATEGIC_MAX2","KA01_c","n","sincere_strategic","percent","df","political_interest"
"1",0,0,1,66,1,0.0701381509032944,"naes08_phone_r","VERYCLOSELY"
"2",0,0,2,84,1,0.0673616680032077,"naes08_phone_r","SOMEWHATCLOSELY"
"3",0,0,3,20,1,0.0738007380073801,"naes08_phone_r","NOTTOOCLOSELY"
"4",0,0,4,3,1,0.0394736842105263,"naes08_phone_r","NOTCLOSELYATALL"
"5",0,1,1,68,3,0.0722635494155154,"naes08_phone_r","VERYCLOSELY"
"6",0,1,2,132,3,0.105854049719326,"naes08_phone_r","SOMEWHATCLOSELY"
"7",0,1,3,32,3,0.118081180811808,"naes08_phone_r","NOTTOOCLOSELY"
"8",0,1,4,6,3,0.0789473684210526,"naes08_phone_r","NOTCLOSELYATALL"
"9",1,0,1,134,2,0.14240170031881,"naes08_phone_r","VERYCLOSELY"
"10",1,0,2,173,2,0.138732959101844,"naes08_phone_r","SOMEWHATCLOSELY"
"11",1,0,3,37,2,0.136531365313653,"naes08_phone_r","NOTTOOCLOSELY"
"12",1,0,4,10,2,0.131578947368421,"naes08_phone_r","NOTCLOSELYATALL"
"13",1,1,1,673,4,0.71519659936238,"naes08_phone_r","VERYCLOSELY"
"14",1,1,2,858,4,0.688051323175621,"naes08_phone_r","SOMEWHATCLOSELY"
"15",1,1,3,182,4,0.671586715867159,"naes08_phone_r","NOTTOOCLOSELY"
"16",1,1,4,57,4,0.75,"naes08_phone_r","NOTCLOSELYATALL"
"17",1,1,NA,3,4,1,"naes08_phone_r",NA
