"","SINCERE_MAX2","STRATEGIC_MAX2","VST0564","n","sincere_strategic","percent","df","race"
"1",0,0,1,14,1,0.0864197530864197,"anes88_st_d","WHITE"
"2",0,0,2,2,1,0.0952380952380952,"anes88_st_d","BLACK"
"3",0,0,3,1,1,0.5,"anes88_st_d","NATIVE"
"4",0,1,1,25,3,0.154320987654321,"anes88_st_d","WHITE"
"5",0,1,2,2,3,0.0952380952380952,"anes88_st_d","BLACK"
"6",0,1,NA,1,3,0.25,"anes88_st_d",NA
"7",1,0,1,37,2,0.228395061728395,"anes88_st_d","WHITE"
"8",1,0,2,12,2,0.571428571428571,"anes88_st_d","BLACK"
"9",1,0,3,1,2,0.5,"anes88_st_d","NATIVE"
"10",1,1,1,86,4,0.530864197530864,"anes88_st_d","WHITE"
"11",1,1,2,5,4,0.238095238095238,"anes88_st_d","BLACK"
"12",1,1,NA,3,4,0.75,"anes88_st_d",NA
