"","SINCERE_MAX2","STRATEGIC_MAX2","VST0564","n","sincere_strategic","percent","df","race"
"1",0,0,1,21,1,0.0693069306930693,"anes88_st_r","WHITE"
"2",0,0,2,1,1,0.5,"anes88_st_r","BLACK"
"3",0,0,3,2,1,0.4,"anes88_st_r","NATIVE"
"4",0,1,1,41,3,0.135313531353135,"anes88_st_r","WHITE"
"5",0,1,3,1,3,0.2,"anes88_st_r","NATIVE"
"6",1,0,1,59,2,0.194719471947195,"anes88_st_r","WHITE"
"7",1,0,3,1,2,0.2,"anes88_st_r","NATIVE"
"8",1,1,1,182,4,0.600660066006601,"anes88_st_r","WHITE"
"9",1,1,2,1,4,0.5,"anes88_st_r","BLACK"
"10",1,1,3,1,4,0.2,"anes88_st_r","NATIVE"
"11",1,1,4,2,4,1,"anes88_st_r","ASIAN"
"12",1,1,NA,3,4,1,"anes88_st_r",NA
