"","SINCERE_MAX2","STRATEGIC_MAX2","cw03","n","sincere_strategic","percent","df","race"
"1",0,0,1,20,1,0.0218818380743982,"naes00_national_d","WHITE"
"2",0,0,2,9,1,0.0416666666666667,"naes00_national_d","BLACK"
"3",0,0,4,3,1,0.038961038961039,"naes00_national_d","OTHER"
"4",0,1,1,162,3,0.177242888402626,"naes00_national_d","WHITE"
"5",0,1,2,42,3,0.194444444444444,"naes00_national_d","BLACK"
"6",0,1,3,4,3,0.210526315789474,"naes00_national_d","ASIAN"
"7",0,1,4,22,3,0.285714285714286,"naes00_national_d","OTHER"
"8",0,1,NA,3,3,0.3,"naes00_national_d",NA
"9",1,0,1,176,2,0.192560175054705,"naes00_national_d","WHITE"
"10",1,0,2,23,2,0.106481481481481,"naes00_national_d","BLACK"
"11",1,0,3,1,2,0.0526315789473684,"naes00_national_d","ASIAN"
"12",1,0,4,6,2,0.0779220779220779,"naes00_national_d","OTHER"
"13",1,0,NA,2,2,0.2,"naes00_national_d",NA
"14",1,1,1,556,4,0.608315098468271,"naes00_national_d","WHITE"
"15",1,1,2,142,4,0.657407407407407,"naes00_national_d","BLACK"
"16",1,1,3,14,4,0.736842105263158,"naes00_national_d","ASIAN"
"17",1,1,4,46,4,0.597402597402597,"naes00_national_d","OTHER"
"18",1,1,NA,5,4,0.5,"naes00_national_d",NA
