"","SINCERE_MAX2","STRATEGIC_MAX2","cw03","n","sincere_strategic","percent","df","race"
"1",0,0,1,21,1,0.0181660899653979,"naes00_national_r","WHITE"
"2",0,0,2,1,1,0.0454545454545455,"naes00_national_r","BLACK"
"3",0,0,4,1,1,0.0208333333333333,"naes00_national_r","OTHER"
"4",0,1,1,220,3,0.190311418685121,"naes00_national_r","WHITE"
"5",0,1,2,6,3,0.272727272727273,"naes00_national_r","BLACK"
"6",0,1,3,3,3,0.166666666666667,"naes00_national_r","ASIAN"
"7",0,1,4,9,3,0.1875,"naes00_national_r","OTHER"
"8",0,1,NA,2,3,0.2,"naes00_national_r",NA
"9",1,0,1,229,2,0.198096885813149,"naes00_national_r","WHITE"
"10",1,0,2,5,2,0.227272727272727,"naes00_national_r","BLACK"
"11",1,0,3,2,2,0.111111111111111,"naes00_national_r","ASIAN"
"12",1,0,4,10,2,0.208333333333333,"naes00_national_r","OTHER"
"13",1,0,NA,1,2,0.1,"naes00_national_r",NA
"14",1,1,1,686,4,0.593425605536332,"naes00_national_r","WHITE"
"15",1,1,2,10,4,0.454545454545455,"naes00_national_r","BLACK"
"16",1,1,3,13,4,0.722222222222222,"naes00_national_r","ASIAN"
"17",1,1,4,28,4,0.583333333333333,"naes00_national_r","OTHER"
"18",1,1,NA,7,4,0.7,"naes00_national_r",NA
