"","SINCERE_MAX2","STRATEGIC_MAX2","WC03_c","n","sincere_strategic","percent","df","race"
"1",0,0,1,194,1,0.0591283145382505,"naes08_phone_d","WHITE"
"2",0,0,2,27,1,0.0635294117647059,"naes08_phone_d","BLACK"
"3",0,0,3,1,1,0.0140845070422535,"naes08_phone_d","ASIAN"
"4",0,0,4,5,1,0.0862068965517241,"naes08_phone_d","NATIVE"
"5",0,0,5,3,1,0.0517241379310345,"naes08_phone_d","HISPANIC"
"6",0,0,6,3,1,0.0612244897959184,"naes08_phone_d","MIXED"
"7",0,0,7,1,1,0.0333333333333333,"naes08_phone_d","OTHER"
"8",0,0,NA,5,1,0.0757575757575758,"naes08_phone_d",NA
"9",0,1,1,288,3,0.0877781164279183,"naes08_phone_d","WHITE"
"10",0,1,2,50,3,0.117647058823529,"naes08_phone_d","BLACK"
"11",0,1,3,4,3,0.0563380281690141,"naes08_phone_d","ASIAN"
"12",0,1,4,5,3,0.0862068965517241,"naes08_phone_d","NATIVE"
"13",0,1,5,9,3,0.155172413793103,"naes08_phone_d","HISPANIC"
"14",0,1,6,5,3,0.102040816326531,"naes08_phone_d","MIXED"
"15",0,1,7,3,3,0.1,"naes08_phone_d","OTHER"
"16",0,1,NA,6,3,0.0909090909090909,"naes08_phone_d",NA
"17",1,0,1,641,2,0.195367266077415,"naes08_phone_d","WHITE"
"18",1,0,2,76,2,0.178823529411765,"naes08_phone_d","BLACK"
"19",1,0,3,9,2,0.126760563380282,"naes08_phone_d","ASIAN"
"20",1,0,4,15,2,0.258620689655172,"naes08_phone_d","NATIVE"
"21",1,0,5,6,2,0.103448275862069,"naes08_phone_d","HISPANIC"
"22",1,0,6,12,2,0.244897959183673,"naes08_phone_d","MIXED"
"23",1,0,7,6,2,0.2,"naes08_phone_d","OTHER"
"24",1,0,NA,15,2,0.227272727272727,"naes08_phone_d",NA
"25",1,1,1,2158,4,0.657726302956416,"naes08_phone_d","WHITE"
"26",1,1,2,272,4,0.64,"naes08_phone_d","BLACK"
"27",1,1,3,57,4,0.802816901408451,"naes08_phone_d","ASIAN"
"28",1,1,4,33,4,0.568965517241379,"naes08_phone_d","NATIVE"
"29",1,1,5,40,4,0.689655172413793,"naes08_phone_d","HISPANIC"
"30",1,1,6,29,4,0.591836734693878,"naes08_phone_d","MIXED"
"31",1,1,7,20,4,0.666666666666667,"naes08_phone_d","OTHER"
"32",1,1,NA,40,4,0.606060606060606,"naes08_phone_d",NA
