year,value,word
1800,0,electable
1801,0,electable
1802,0,electable
1803,0,electable
1804,0,electable
1805,0,electable
1806,0,electable
1807,0,electable
1808,0,electable
1809,0,electable
1810,0,electable
1811,0,electable
1812,0,electable
1813,0,electable
1814,0,electable
1815,1.04E-09,electable
1816,1.04E-09,electable
1817,2.48E-09,electable
1818,3.45E-09,electable
1819,3.45E-09,electable
1820,3.45E-09,electable
1821,3.45E-09,electable
1822,2.41E-09,electable
1823,2.41E-09,electable
1824,1.55E-09,electable
1825,5.75E-10,electable
1826,1.43E-09,electable
1827,1.43E-09,electable
1828,1.43E-09,electable
1829,1.56E-09,electable
1830,1.84E-09,electable
1831,1.26E-09,electable
1832,1.26E-09,electable
1833,4.05E-10,electable
1834,4.05E-10,electable
1835,4.05E-10,electable
1836,2.74E-10,electable
1837,2.55E-10,electable
1838,4.89E-10,electable
1839,4.89E-10,electable
1840,4.89E-10,electable
1841,4.89E-10,electable
1842,4.89E-10,electable
1843,4.89E-10,electable
1844,2.34E-10,electable
1845,0,electable
1846,0,electable
1847,1.51E-10,electable
1848,1.51E-10,electable
1849,1.25E-09,electable
1850,2.38E-09,electable
1851,2.58E-09,electable
1852,2.69E-09,electable
1853,2.79E-09,electable
1854,2.87E-09,electable
1855,3.60E-09,electable
1856,2.61E-09,electable
1857,1.81E-09,electable
1858,1.76E-09,electable
1859,1.83E-09,electable
1860,6.01E-09,electable
1861,5.91E-09,electable
1862,5.48E-09,electable
1863,5.91E-09,electable
1864,6.18E-09,electable
1865,6.72E-09,electable
1866,6.86E-09,electable
1867,2.77E-09,electable
1868,3.47E-09,electable
1869,4.57E-09,electable
1870,4.39E-09,electable
1871,4.08E-09,electable
1872,3.47E-09,electable
1873,3.33E-09,electable
1874,3.40E-09,electable
1875,2.84E-09,electable
1876,1.68E-09,electable
1877,1.38E-09,electable
1878,1.24E-09,electable
1879,1.55E-09,electable
1880,2.25E-09,electable
1881,2.10E-09,electable
1882,2.08E-09,electable
1883,1.95E-09,electable
1884,2.21E-09,electable
1885,2.13E-09,electable
1886,2.01E-09,electable
1887,1.19E-09,electable
1888,2.30E-09,electable
1889,2.19E-09,electable
1890,3.21E-09,electable
1891,3.06E-09,electable
1892,3.38E-09,electable
1893,3.17E-09,electable
1894,3.20E-09,electable
1895,2.47E-09,electable
1896,2.46E-09,electable
1897,1.55E-09,electable
1898,1.47E-09,electable
1899,1.13E-09,electable
1900,1.17E-09,electable
1901,1.27E-09,electable
1902,9.95E-10,electable
1903,1.18E-09,electable
1904,1.26E-09,electable
1905,1.33E-09,electable
1906,1.46E-09,electable
1907,1.55E-09,electable
1908,1.52E-09,electable
1909,1.40E-09,electable
1910,1.36E-09,electable
1911,1.19E-09,electable
1912,1.50E-09,electable
1913,1.43E-09,electable
1914,1.43E-09,electable
1915,1.92E-09,electable
1916,2.27E-09,electable
1917,2.07E-09,electable
1918,2.07E-09,electable
1919,1.75E-09,electable
1920,1.76E-09,electable
1921,1.67E-09,electable
1922,1.04E-09,electable
1923,1.19E-09,electable
1924,1.40E-09,electable
1925,1.43E-09,electable
1926,1.52E-09,electable
1927,1.46E-09,electable
1928,1.68E-09,electable
1929,1.68E-09,electable
1930,1.20E-09,electable
1931,1.10E-09,electable
1932,1.18E-09,electable
1933,1.05E-09,electable
1934,1.28E-09,electable
1935,1.10E-09,electable
1936,1.39E-09,electable
1937,1.69E-09,electable
1938,1.88E-09,electable
1939,1.76E-09,electable
1940,1.83E-09,electable
1941,1.64E-09,electable
1942,1.64E-09,electable
1943,1.56E-09,electable
1944,1.22E-09,electable
1945,1.13E-09,electable
1946,1.42E-09,electable
1947,1.82E-09,electable
1948,2.09E-09,electable
1949,2.45E-09,electable
1950,2.72E-09,electable
1951,2.98E-09,electable
1952,3.10E-09,electable
1953,3.91E-09,electable
1954,3.64E-09,electable
1955,3.55E-09,electable
1956,3.74E-09,electable
1957,3.88E-09,electable
1958,4.13E-09,electable
1959,4.68E-09,electable
1960,4.19E-09,electable
1961,4.67E-09,electable
1962,5.00E-09,electable
1963,5.04E-09,electable
1964,5.36E-09,electable
1965,5.80E-09,electable
1966,5.86E-09,electable
1967,5.89E-09,electable
1968,6.12E-09,electable
1969,7.15E-09,electable
1970,7.45E-09,electable
1971,7.38E-09,electable
1972,7.98E-09,electable
1973,1.07E-08,electable
1974,1.14E-08,electable
1975,1.19E-08,electable
1976,1.30E-08,electable
1977,1.51E-08,electable
1978,1.63E-08,electable
1979,1.70E-08,electable
1980,1.59E-08,electable
1981,2.04E-08,electable
1982,2.07E-08,electable
1983,2.03E-08,electable
1984,2.01E-08,electable
1985,2.35E-08,electable
1986,2.33E-08,electable
1987,2.36E-08,electable
